Metric,Model,Original,Surface-Pert.,Distrib-Shift,Δ Surface (%),Δ Distrib (%)
BLEU,marian,"10.470 [9.13,11.73]",7.120,8.400,-32.0%,-19.8%
BLEU,nllb,"22.650 [20.99,24.4]",19.200,20.890,-15.2%,-7.8%
BLEU,indictrans,"26.050 [24.07,27.89]",20.480,24.310,-21.4%,-6.7%
chrF,marian,"30.950 [29.32,32.33]",25.280,28.350,-18.3%,-8.4%
chrF,nllb,"48.670 [47.2,50.25]",44.520,46.870,-8.5%,-3.7%
chrF,indictrans,"51.380 [49.81,52.94]",45.720,49.580,-11.0%,-3.5%
COMET,marian,0.603,0.525,0.557,-12.9%,-7.6%
COMET,nllb,0.807,0.762,0.782,-5.6%,-3.1%
COMET,indictrans,0.821,0.761,0.790,-7.3%,-3.8%
